B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,GEO_ID,NAME
3923,237,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,37,216,93,17,27,107,66,447,133,199,104,1711,257,816,187,152,101,225,95,1400000US08013012708,"Census Tract 127.08, Boulder County, Colorado"
1363,78,6,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,8,0,12,0,12,5,9,94,39,8,13,22,17,141,49,46,26,530,91,346,73,52,24,107,33,1400000US08013012709,"Census Tract 127.09, Boulder County, Colorado"
2815,131,0,12,11,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,128,58,32,21,50,37,278,109,56,33,1164,146,630,103,227,104,239,76,1400000US08013012710,"Census Tract 127.10, Boulder County, Colorado"
8500,327,16,27,0,19,0,19,0,19,0,19,12,19,0,19,0,19,84,60,0,19,0,19,0,19,0,19,29,32,52,48,577,168,170,109,457,157,791,219,548,178,3213,295,1741,297,189,97,621,179,1400000US08013012800,"Census Tract 128, Boulder County, Colorado"
1755,100,18,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,14,0,12,6,8,96,46,10,11,27,18,155,55,40,26,681,88,472,78,104,44,133,50,1400000US08013012903,"Census Tract 129.03, Boulder County, Colorado"
4133,243,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,74,89,28,32,13,20,0,17,17,28,39,57,298,114,54,49,103,57,406,133,385,134,1791,299,575,165,181,98,169,86,1400000US08013012904,"Census Tract 129.04, Boulder County, Colorado"
2071,161,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,26,26,39,49,28,28,447,131,16,19,87,57,286,99,154,64,590,111,292,110,43,28,53,41,1400000US08013012905,"Census Tract 129.05, Boulder County, Colorado"
2641,200,34,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,19,0,12,17,28,19,28,12,19,147,69,9,16,74,52,492,136,150,74,938,167,446,114,140,78,150,68,1400000US08013012907,"Census Tract 129.07, Boulder County, Colorado"
5041,263,75,68,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,18,28,0,17,18,28,0,17,0,17,351,134,32,35,266,140,499,170,210,90,1768,262,1264,227,216,100,324,111,1400000US08013013003,"Census Tract 130.03, Boulder County, Colorado"
2303,132,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,0,12,0,12,1,8,263,89,0,12,56,47,176,84,142,81,818,140,572,115,116,68,154,71,1400000US08013013004,"Census Tract 130.04, Boulder County, Colorado"
2214,141,18,29,0,12,7,10,0,12,0,12,0,12,0,12,12,19,0,12,0,12,0,12,12,18,0,12,53,60,0,12,233,78,29,30,109,62,244,101,153,59,636,147,437,86,154,79,117,58,1400000US08013013005,"Census Tract 130.05, Boulder County, Colorado"
4111,184,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,2,6,0,17,50,38,21,35,27,41,269,120,31,48,161,86,320,103,170,85,1615,216,1094,231,154,81,197,103,1400000US08013013006,"Census Tract 130.06, Boulder County, Colorado"
1311,114,7,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,15,11,11,0,12,14,15,266,71,49,34,54,22,147,56,100,39,417,71,147,44,26,18,56,65,1400000US08013013201,"Census Tract 132.01, Boulder County, Colorado"
1093,103,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,23,196,87,0,12,23,15,127,65,50,37,345,81,183,59,66,33,82,39,1400000US08013013202,"Census Tract 132.02, Boulder County, Colorado"
3755,260,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,53,80,0,17,254,117,122,91,93,65,225,98,379,164,1443,223,763,180,351,142,72,53,1400000US08013013205,"Census Tract 132.05, Boulder County, Colorado"
3194,203,1,2,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,16,0,12,0,12,0,12,24,24,12,19,0,12,519,118,60,46,219,85,318,116,338,126,1073,187,461,108,60,55,104,61,1400000US08013013207,"Census Tract 132.07, Boulder County, Colorado"
4824,290,78,49,0,17,0,17,17,27,0,17,0,17,0,17,38,62,71,86,0,17,0,17,18,28,53,85,56,44,41,31,622,207,52,50,271,103,691,183,386,118,1677,272,569,140,135,92,49,55,1400000US08013013208,"Census Tract 132.08, Boulder County, Colorado"
3841,262,74,54,0,17,0,17,0,17,0,17,0,17,0,17,6,10,48,42,36,50,10,15,115,95,24,27,36,44,101,62,661,160,168,66,332,106,536,153,377,95,892,160,364,97,9,16,52,37,1400000US08013013210,"Census Tract 132.10, Boulder County, Colorado"
4202,343,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,71,84,49,75,91,80,149,103,664,251,75,66,201,105,308,137,218,94,1542,271,442,148,117,86,275,132,1400000US08013013211,"Census Tract 132.11, Boulder County, Colorado"
3264,204,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,27,43,27,29,53,53,54,60,289,88,45,32,175,98,444,109,268,94,1137,177,556,128,93,48,89,52,1400000US08013013212,"Census Tract 132.12, Boulder County, Colorado"
