geoid,name,B01003001,"B01003001, Error"
14000US08005006815,"Census Tract 68.15, Arapahoe, CO",4810,555
14000US08005006854,"Census Tract 68.54, Arapahoe, CO",2903,288
14000US08005006857,"Census Tract 68.57, Arapahoe, CO",2134,244
14000US08005007101,"Census Tract 71.01, Arapahoe, CO",6005,882
14000US08005007103,"Census Tract 71.03, Arapahoe, CO",1617,220
14000US08005007106,"Census Tract 71.06, Arapahoe, CO",6513,1083
14000US08005007201,"Census Tract 72.01, Arapahoe, CO",3752,549
14000US08005007202,"Census Tract 72.02, Arapahoe, CO",4525,940
14000US08005007301,"Census Tract 73.01, Arapahoe, CO",2523,349
14000US08005007302,"Census Tract 73.02, Arapahoe, CO",5260,749
14000US08005007400,"Census Tract 74, Arapahoe, CO",5362,658
14000US08005007500,"Census Tract 75, Arapahoe, CO",2626,436
14000US08005007600,"Census Tract 76, Arapahoe, CO",3578,597
14000US08005007702,"Census Tract 77.02, Arapahoe, CO",3832,414
14000US08005007703,"Census Tract 77.03, Arapahoe, CO",5241,1000
14000US08005007704,"Census Tract 77.04, Arapahoe, CO",5527,735
14000US08005015100,"Census Tract 151, Arapahoe, CO",2815,353
14000US08005080000,"Census Tract 800, Arapahoe, CO",4249,595
14000US08005080100,"Census Tract 801, Arapahoe, CO",4168,660
14000US08005080200,"Census Tract 802, Arapahoe, CO",6742,731
14000US08005080300,"Census Tract 803, Arapahoe, CO",6001,808
14000US08005080400,"Census Tract 804, Arapahoe, CO",4957,560
14000US08005080500,"Census Tract 805, Arapahoe, CO",3717,597
14000US08005080600,"Census Tract 806, Arapahoe, CO",3510,656
14000US08005080700,"Census Tract 807, Arapahoe, CO",5878,865
14000US08005080800,"Census Tract 808, Arapahoe, CO",3641,448
14000US08005080900,"Census Tract 809, Arapahoe, CO",4961,915
14000US08005081200,"Census Tract 812, Arapahoe, CO",5188,851
14000US08005081300,"Census Tract 813, Arapahoe, CO",3066,493
14000US08005081400,"Census Tract 814, Arapahoe, CO",4255,521
14000US08005081500,"Census Tract 815, Arapahoe, CO",2915,274
14000US08005081600,"Census Tract 816, Arapahoe, CO",5184,822
14000US08005081700,"Census Tract 817, Arapahoe, CO",2964,300
14000US08005081800,"Census Tract 818, Arapahoe, CO",5419,682
14000US08005081900,"Census Tract 819, Arapahoe, CO",6768,1153
14000US08005082000,"Census Tract 820, Arapahoe, CO",4984,826
14000US08005082100,"Census Tract 821, Arapahoe, CO",7071,1050
14000US08005082200,"Census Tract 822, Arapahoe, CO",6605,1074
14000US08005082300,"Census Tract 823, Arapahoe, CO",4474,904
14000US08005082400,"Census Tract 824, Arapahoe, CO",4462,879
14000US08005082500,"Census Tract 825, Arapahoe, CO",2374,294
14000US08005082600,"Census Tract 826, Arapahoe, CO",5421,897
14000US08005082700,"Census Tract 827, Arapahoe, CO",3653,484
14000US08005082800,"Census Tract 828, Arapahoe, CO",5379,1046
14000US08005082900,"Census Tract 829, Arapahoe, CO",5099,727
14000US08005083000,"Census Tract 830, Arapahoe, CO",3773,541
14000US08005083100,"Census Tract 831, Arapahoe, CO",7254,843
14000US08005083300,"Census Tract 833, Arapahoe, CO",4588,469
14000US08005083400,"Census Tract 834, Arapahoe, CO",7067,1057
14000US08005083500,"Census Tract 835, Arapahoe, CO",6562,842
14000US08005083600,"Census Tract 836, Arapahoe, CO",3866,543
14000US08005083700,"Census Tract 837, Arapahoe, CO",3883,528
14000US08005083800,"Census Tract 838, Arapahoe, CO",2974,502
14000US08005083900,"Census Tract 839, Arapahoe, CO",3105,401
14000US08005084000,"Census Tract 840, Arapahoe, CO",2836,399
14000US08005084100,"Census Tract 841, Arapahoe, CO",4179,434
14000US08005084200,"Census Tract 842, Arapahoe, CO",4076,594
14000US08005084300,"Census Tract 843, Arapahoe, CO",3954,602
14000US08005084400,"Census Tract 844, Arapahoe, CO",3395,542
14000US08005084500,"Census Tract 845, Arapahoe, CO",2796,464
14000US08005084600,"Census Tract 846, Arapahoe, CO",5505,520
14000US08005084700,"Census Tract 847, Arapahoe, CO",4415,486
14000US08005084800,"Census Tract 848, Arapahoe, CO",3578,555
14000US08005084900,"Census Tract 849, Arapahoe, CO",3352,377
14000US08005085000,"Census Tract 850, Arapahoe, CO",2517,307
14000US08005085100,"Census Tract 851, Arapahoe, CO",6586,747
14000US08005085200,"Census Tract 852, Arapahoe, CO",3204,370
14000US08005085300,"Census Tract 853, Arapahoe, CO",2457,278
14000US08005085400,"Census Tract 854, Arapahoe, CO",5129,972
14000US08005085500,"Census Tract 855, Arapahoe, CO",5584,498
14000US08005085600,"Census Tract 856, Arapahoe, CO",3454,459
14000US08005085700,"Census Tract 857, Arapahoe, CO",4816,916
14000US08005085800,"Census Tract 858, Arapahoe, CO",1755,219
14000US08005085900,"Census Tract 859, Arapahoe, CO",6796,684
14000US08005086100,"Census Tract 861, Arapahoe, CO",4708,554
14000US08005086200,"Census Tract 862, Arapahoe, CO",6705,667
14000US08005086300,"Census Tract 863, Arapahoe, CO",4633,530
14000US08005086400,"Census Tract 864, Arapahoe, CO",1967,248
14000US08005086500,"Census Tract 865, Arapahoe, CO",5178,618
14000US08005086600,"Census Tract 866, Arapahoe, CO",6045,627
14000US08005086700,"Census Tract 867, Arapahoe, CO",6120,804
14000US08005086900,"Census Tract 869, Arapahoe, CO",3069,480
14000US08005087000,"Census Tract 870, Arapahoe, CO",5161,897
14000US08005087100,"Census Tract 871, Arapahoe, CO",2674,333
14000US08005087200,"Census Tract 872, Arapahoe, CO",3907,748
14000US08007940400,"Census Tract 9404, Archuleta, CO",1518,313
14000US08007974300,"Census Tract 9743, Archuleta, CO",3631,497
14000US08007974400,"Census Tract 9744, Archuleta, CO",2599,350
14000US08009964600,"Census Tract 9646, Baca, CO",1610,140
14000US08009964700,"Census Tract 9647, Baca, CO",1960,140
14000US08013012101,"Census Tract 121.01, Boulder, CO",4929,637
14000US08013012103,"Census Tract 121.03, Boulder, CO",3866,360
14000US08013012104,"Census Tract 121.04, Boulder, CO",2368,269
14000US08013012105,"Census Tract 121.05, Boulder, CO",6066,746
14000US08013012201,"Census Tract 122.01, Boulder, CO",3946,594
14000US08013012204,"Census Tract 122.04, Boulder, CO",4358,669
14000US08013012300,"Census Tract 123, Boulder, CO",6733,458
14000US08013012401,"Census Tract 124.01, Boulder, CO",5852,902
14000US08013012501,"Census Tract 125.01, Boulder, CO",2741,483
14000US08013012505,"Census Tract 125.05, Boulder, CO",4188,435
