B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,GEO_ID,NAME
8220,573,6525,598,5744,631,91,76,0,17,468,259,0,17,0,17,222,153,0,17,222,153,1695,421,1619,428,19,28,0,17,0,17,0,17,57,58,0,17,0,17,0,17,1400000US08001008550,"Census Tract 85.50, Adams County, Colorado"
1569,120,1263,137,1045,142,19,27,0,12,139,81,0,12,0,12,60,39,0,12,60,39,306,135,293,133,0,12,0,12,0,12,0,12,13,22,0,12,0,12,0,12,1400000US08001008551,"Census Tract 85.51, Adams County, Colorado"
1937,213,774,183,746,182,0,12,0,12,0,12,8,13,0,12,20,19,0,12,20,19,1163,223,1047,226,0,12,0,12,0,12,0,12,78,47,38,31,12,14,26,27,1400000US08001008603,"Census Tract 86.03, Adams County, Colorado"
5254,487,2931,357,2541,342,305,143,52,64,13,26,0,17,0,17,20,29,0,17,20,29,2323,429,1980,371,0,17,58,80,0,17,0,17,211,140,74,64,50,56,24,28,1400000US08001008604,"Census Tract 86.04, Adams County, Colorado"
4278,355,3077,364,2953,360,26,40,25,33,56,53,0,12,0,12,17,28,0,12,17,28,1201,366,1154,365,0,12,22,35,0,12,0,12,0,12,25,39,0,12,25,39,1400000US08001008605,"Census Tract 86.05, Adams County, Colorado"
6120,525,4118,610,3380,552,21,31,52,62,621,471,0,17,0,17,44,50,15,23,29,42,2002,556,1112,488,20,34,73,128,0,17,0,17,739,477,58,59,36,44,22,37,1400000US08001008606,"Census Tract 86.06, Adams County, Colorado"
5511,567,1785,402,1499,414,133,100,37,56,31,30,0,17,0,17,85,45,0,17,85,45,3726,624,3265,650,26,30,10,16,0,17,0,17,360,249,65,53,37,35,28,29,1400000US08001008705,"Census Tract 87.05, Adams County, Colorado"
6056,690,1877,427,1109,386,752,549,0,17,0,17,0,17,0,17,16,21,0,17,16,21,4179,597,3183,685,0,17,30,44,13,21,0,17,847,340,106,121,35,40,71,109,1400000US08001008706,"Census Tract 87.06, Adams County, Colorado"
7668,626,2378,413,1659,335,615,308,40,43,26,38,0,17,0,17,38,58,0,17,38,58,5290,750,3967,949,0,17,59,77,0,17,0,17,880,487,384,471,0,17,384,471,1400000US08001008709,"Census Tract 87.09, Adams County, Colorado"
5160,510,1489,238,1254,293,201,170,26,35,0,17,0,17,0,17,8,11,0,17,8,11,3671,503,3126,547,58,68,0,17,0,17,0,17,345,236,142,137,29,35,113,133,1400000US08001008801,"Census Tract 88.01, Adams County, Colorado"
5396,529,1399,293,1153,250,90,62,7,14,119,140,15,24,0,17,15,25,0,17,15,25,3997,562,2973,706,0,17,154,196,0,17,0,17,798,386,72,89,58,84,14,18,1400000US08001008802,"Census Tract 88.02, Adams County, Colorado"
2800,225,973,229,927,230,12,19,15,16,19,19,0,12,0,12,0,12,0,12,0,12,1827,284,1502,324,0,12,55,56,0,12,0,12,227,133,43,38,31,35,12,19,1400000US08001008901,"Census Tract 89.01, Adams County, Colorado"
4420,344,2157,285,1666,267,180,124,0,12,69,52,0,12,42,40,200,108,0,12,200,108,2263,341,1628,327,8,13,0,12,0,12,0,12,394,194,233,254,34,32,199,251,1400000US08001009001,"Census Tract 90.01, Adams County, Colorado"
10038,982,3623,562,3073,508,103,91,0,19,276,200,0,19,0,19,171,178,0,19,171,178,6415,1028,4781,886,0,19,227,369,0,19,0,19,464,351,943,1128,70,63,873,1120,1400000US08001009002,"Census Tract 90.02, Adams County, Colorado"
4639,448,1961,334,1851,339,19,27,0,12,11,17,0,12,0,12,80,75,0,12,80,75,2678,536,2387,550,0,12,0,12,0,12,0,12,193,113,98,79,98,79,0,12,1400000US08001009101,"Census Tract 91.01, Adams County, Colorado"
