geoid,name,B15003001,"B15003001, Error",B15003002,"B15003002, Error",B15003003,"B15003003, Error",B15003004,"B15003004, Error",B15003005,"B15003005, Error",B15003006,"B15003006, Error",B15003007,"B15003007, Error",B15003008,"B15003008, Error",B15003009,"B15003009, Error",B15003010,"B15003010, Error",B15003011,"B15003011, Error",B15003012,"B15003012, Error",B15003013,"B15003013, Error",B15003014,"B15003014, Error",B15003015,"B15003015, Error",B15003016,"B15003016, Error",B15003017,"B15003017, Error",B15003018,"B15003018, Error",B15003019,"B15003019, Error",B15003020,"B15003020, Error",B15003021,"B15003021, Error",B15003022,"B15003022, Error",B15003023,"B15003023, Error",B15003024,"B15003024, Error",B15003025,"B15003025, Error"
14000US08031002300,"Census Tract 23, Denver, CO",3948,437,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,24,38,88,84,67,82,93,77,218,124,365,311,112,67,473,179,229,125,1567,412,422,148,262,125,28,35
14000US08031002402,"Census Tract 24.02, Denver, CO",1502,215,13,16,0,12,0,12,0,12,0,12,0,12,0,12,4,9,0,12,6,14,10,17,12,17,21,22,13,15,7,12,183,100,98,45,78,36,202,63,65,34,556,117,158,68,61,39,15,13
14000US08031002602,"Census Tract 26.02, Denver, CO",2754,458,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,9,20,26,39,8,19,8,19,9,13,77,47,7,11,34,46,278,106,82,44,1581,472,441,135,143,67,36,29
14000US08031002801,"Census Tract 28.01, Denver, CO",2635,312,16,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,19,0,12,0,12,0,12,46,47,140,86,8,12,111,73,248,90,138,121,1275,240,505,139,113,55,22,19
14000US08031002802,"Census Tract 28.02, Denver, CO",3858,793,136,179,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,3,0,12,0,12,30,23,46,52,0,12,254,122,52,63,139,92,543,302,98,81,1959,614,434,109,33,39,133,89
14000US08031002901,"Census Tract 29.01, Denver, CO",2790,326,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,11,0,12,0,12,0,12,1,2,29,46,192,103,0,12,71,59,427,146,131,69,1234,231,553,203,99,55,47,34
14000US08031002902,"Census Tract 29.02, Denver, CO",3407,462,4,7,0,12,0,12,0,12,0,12,0,12,0,12,7,13,10,16,0,12,0,12,0,12,0,12,0,12,0,12,150,69,111,76,71,51,258,147,24,27,1701,384,814,136,161,64,96,55
14000US08031003002,"Census Tract 30.02, Denver, CO",2484,383,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,13,37,33,27,36,251,126,26,35,132,75,245,127,155,105,998,196,447,158,107,60,53,39
14000US08031003003,"Census Tract 30.03, Denver, CO",1605,338,77,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,9,73,57,13,20,240,268,180,83,102,60,494,136,324,95,87,46,9,14
14000US08031003004,"Census Tract 30.04, Denver, CO",4255,705,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,20,0,17,148,89,66,65,63,50,470,183,314,240,1887,457,881,322,244,170,170,89
14000US08031003101,"Census Tract 31.01, Denver, CO",1236,201,13,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,12,0,12,0,12,0,12,0,12,155,74,12,13,21,25,163,73,10,12,410,93,277,104,139,85,24,23
14000US08031003102,"Census Tract 31.02, Denver, CO",3059,406,48,59,0,12,0,12,0,12,0,12,5,14,0,12,8,18,0,12,0,12,15,18,52,65,68,67,68,48,20,32,277,164,105,79,131,76,264,145,136,77,1106,231,425,114,146,73,185,130
14000US08031003202,"Census Tract 32.02, Denver, CO",3135,396,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,11,0,12,0,12,5,12,9,19,189,131,28,32,55,51,419,176,134,70,1152,235,597,157,379,190,164,104
14000US08031003203,"Census Tract 32.03, Denver, CO",2421,437,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,19,30,44,9,15,23,36,81,60,87,48,936,189,788,373,399,123,55,42
14000US08031003300,"Census Tract 33, Denver, CO",2487,319,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3,6,0,12,0,12,75,56,47,43,58,48,223,102,92,48,902,188,517,119,456,222,114,76
14000US08031003401,"Census Tract 34.01, Denver, CO",2184,222,8,14,0,12,0,12,0,12,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,85,63,21,25,13,16,39,29,64,35,874,180,635,132,323,116,113,63
14000US08031003402,"Census Tract 34.02, Denver, CO",3679,472,27,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,60,72,0,12,9,12,0,12,336,203,22,22,71,50,247,96,151,65,1374,280,902,212,346,98,134,49
14000US08031003601,"Census Tract 36.01, Denver, CO",3447,474,87,63,0,12,0,12,4,6,0,12,0,12,13,20,68,70,181,153,0,12,53,48,96,87,57,52,145,119,71,93,538,177,208,176,142,61,381,154,137,66,942,230,262,97,20,17,42,30
